Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
09/21/2018,BUIC,4D,,GRY,AN12842,IL,10300 S. Doty,(773) 785-9752,1718601
07/25/2018,PONT,4T,,GRN,J876068,IN,701 N. Sacramento,(773) 265-7605,6929508
07/26/2018,CHEV,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6929615
08/24/2018,CHEV,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2857408
08/26/2018,MERZ,4D,,BLK,Q628054,IL,701 N. Sacramento,(773) 265-7605,6932595
08/26/2018,SUBA,LL,TK,WHI,5341365,IL,701 N. Sacramento,(773) 265-7605,6932593
08/26/2018,HOND,VN,,SIL,AN78670,IL,10300 S. Doty,(773) 568-8495,2857532
07/27/2018,FORD,LL,TK,BLU,J135792,IN,10300 S. Doty,(773) 568-8495,2855322
07/27/2018,NISS,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2855321
07/27/2018,CHRY,4D,,TAN,364961,IL,701 N. Sacramento,(773) 265-7605,6929724
09/21/2018,BMW,4D,,BLK,AD14652,IL,701 N. Sacramento,(773) 265-7605,6934936
09/21/2018,LEXS,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,6934944
08/24/2018,VOLK,4D,,BLK,N331781,IL,10300 S. Doty,(773) 568-8495,2857398
07/26/2018,MAZD,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6929575
09/22/2018,CHEV,LL,,WHI,V464127,IL,701 N. Sacramento,(773) 265-7605,6935022
08/24/2018,CHEV,4D,,BLK,Z968403,IL,701 N. Sacramento,(773) 265-7605,6932288
09/22/2018,CHEV,4D,,GRY,AV16883,IL,701 N. Sacramento,(773) 265-7605,6935000
09/22/2018,NISS,4T,,GRY,ZZ88473,IL,701 N. Sacramento,(773) 265-7605,6934994
08/24/2018,FORD,4D,,SIL,DMK1348,NC,701 N. Sacramento,(773) 265-1846,1537759
07/26/2018,FORD,4D,,GRY,BNWR03,FL,10300 S. Doty,(773) 568-8495,2855264
09/22/2018,JEEP,4T,,SIL,ZV89486,IL,701 N. Sacramento,(773) 265-7605,6935003
07/26/2018,TOYT,4D,,SIL,295994,IL,701 N. Sacramento,(773) 265-7605,6929618
09/22/2018,CHEV,4T,,GRY,K972641,IL,701 N. Sacramento,(773) 265-7605,6935004
09/22/2018,OLDS,LL,,BGE,EK2390,IL,701 N. Sacramento,(773) 265-7605,6934999
09/22/2018,LINC,LL,,BLK,AR64387,IL,701 N. Sacramento,(773) 265-7605,6935002
07/27/2018,MERC,LL,,WHI,AL26303,IL,701 N. Sacramento,(773) 265-7605,6929623
07/27/2018,MERC,4T,,BLU,AQ78231,IL,10300 S. Doty,(773) 568-8495,2855267
08/24/2018,JEEP,LL,TK,GRY,192U819,IL,10300 S. Doty,(773) 568-8495,2857419
09/22/2018,KIA,LL,,BLK,851324,IL,701 N. Sacramento,(773) 265-7605,6934971
09/22/2018,TOYT,4D,,GRY,Q676655,IL,701 N. Sacramento,(773) 265-7605,6934963
09/22/2018,HOND,LL,,GRY,8344264,IL,701 N. Sacramento,(773) 265-7605,6934969
09/22/2018,CHEV,LL,,MAR,Q894413,IL,701 N. Sacramento,(773) 265-7605,6934968
08/24/2018,FORD,4H,,GRY,R325294,IL,701 N. Sacramento,(773) 265-7605,6932320
08/24/2018,CHEV,2D,,WHI,AQ49696,IL,701 N. Sacramento,(773) 265-7605,6932324
08/24/2018,SATR,LL,,GRY,ZY93031,IL,701 N. Sacramento,(773) 265-7605,6932323
08/24/2018,TOYT,4D,,GRY,ZGY375,IL,701 N. Sacramento,(773) 265-7605,6932325
08/24/2018,LINC,4D,,WHI,AV40840,IL,701 N. Sacramento,(773) 265-7605,6932358
08/24/2018,TOYT,4D,,TAN,,,10300 S. Doty,(773) 568-8495,2857437
08/24/2018,TOYT,LL,,BLU,E857110,IL,701 N. Sacramento,(773) 265-7605,6932318
09/21/2018,CADI,4D,,TAN,AS74577,IL,10300 S. Doty,(773) 568-8495,2859528
07/26/2018,CHEV,4D,,WHI,AS39429,IL,701 N. Sacramento,(773) 265-7605,6929612
08/24/2018,FORD,LL,,BLU,AW27560,IL,701 N. Sacramento,(773) 265-7605,6932343
08/25/2018,GMC,LL,,GRN,901432,IL,701 N. Sacramento,(773) 265-7605,6932466
08/26/2018,VOLK,4D,,SIL,AS14568,IL,10300 S. Doty,(773) 568-8495,2857543
07/26/2018,TOYT,4D,,BLK,AS76204,IL,10300 S. Doty,(773) 568-8495,2855251
07/26/2018,LEXS,2D,,RED,AP46637,IL,10300 S. Doty,(773) 568-8495,2855253
07/26/2018,TOYT,2D,,WHI,N797481,IL,10300 S. Doty,(773) 568-8495,2855254
07/26/2018,CHEV,4D,,GRY,967T098,IL,10300 S. Doty,(773) 568-8495,2855255
08/26/2018,FORD,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2857542
08/26/2018,BUIC,4D,,BGE,,IL,10300 S. Doty,(773) 568-8495,2857540
07/26/2018,JEEP,LL,,DBL,Z636368,IL,701 N. Sacramento,(773) 265-7605,6929617
07/26/2018,JEEP,LL,,SIL,Z263092,IL,10300 S. Doty,(773) 568-8495,2855261
07/26/2018,BUIC,VN,,BLU,843744,IL,701 N. Sacramento,(773) 265-7605,6929620
08/27/2018,VOLK,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,6932655
08/20/2018,,OB,,WHI,IL6038FH,IL,701 N. Sacramento,(773) 265-1846,1537740
08/24/2018,CHEV,4D,,TAN,AG20423,IL,701 N. Sacramento,(773) 265-7605,6932333
07/26/2018,DODG,PK,R15,GRN,2322837B,IL,701 N. Sacramento,(773) 265-7605,6929588
08/21/2018,NISS,4D,,SIL,R235808.,IL,701 N. Sacramento,(773) 265-7605,6931913
08/24/2018,HOND,4D,,GRY,GMD5575,OH,701 N. Sacramento,(773) 265-7605,6932334
08/24/2018,KIA,4D,,BLU,S324817,IL,10300 S. Doty,(773) 568-8495,2857421
08/24/2018,MERC,LL,,SIL,AS73282,IL,10300 S. Doty,(773) 785-9752,1718533
07/27/2018,HOND,4D,,BGE,ZU48699,IL,10300 S. Doty,(773) 568-8495,2855273
07/27/2018,FORD,LL,,WHI,AS76209,IL,10300 S. Doty,(773) 568-8495,2855270
07/27/2018,FORD,2T,,BLK,AD78224,IL,10300 S. Doty,(773) 568-8495,2855266
07/27/2018,GMC,LL,,TAN,255U727,IL,10300 S. Doty,(773) 568-8495,2855272
08/24/2018,HOND,4D,,TAN,AZ47194,IL,701 N. Sacramento,(773) 265-7605,6932339
08/24/2018,PONT,4D,,BLK,,TX,10300 S. Doty,(773) 568-8495,2857425
08/25/2018,NISS,4D,,GRY,1974486,IL,10300 S. Doty,(773) 568-8495,2857448
09/21/2018,FORD,4D,,GRY,AW33950,IL,701 N. Sacramento,(773) 265-7605,6934947
08/24/2018,PONT,4D,,WHI,324158,IL,701 N. Sacramento,(773) 265-7605,6932262
09/21/2018,CHEV,4D,,DBL,AQ22580,IL,701 N. Sacramento,(773) 265-7605,6934946
09/21/2018,TOYT,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6934945
09/21/2018,VOLV,SW,,SIL,903CHN,WI,701 N. Sacramento,(773) 265-7605,6934950
07/26/2018,NISS,VN,,TAN,,IL,10300 S. Doty,(773) 785-9752,1718464
09/21/2018,TOYT,4T,,BLU,E421047,IL,701 N. Sacramento,(773) 265-7605,6934953
08/24/2018,DODG,VN,,WHI,5771117,IL,701 N. Sacramento,(773) 265-7605,6932337
07/27/2018,JEEP,4D,,GRY,R421725,IL,701 N. Sacramento,(773) 265-7605,6929628
07/27/2018,CHEV,4T,,WHI,238337,IL,701 N. Sacramento,(773) 265-7605,6929629
08/24/2018,CHRY,VN,,BLU,,IL,10300 S. Doty,(773) 568-8495,2857430
07/27/2018,LINC,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2855274
08/24/2018,CHEV,4D,,WHI,AD61037,IL,10300 S. Doty,(773) 568-8495,2857431
08/25/2018,NISS,4D,,MAR,AC45229,IL,10300 S. Doty,(773) 568-8495,2857438
08/25/2018,CHEV,LL,,WHI,AF47374,IL,701 N. Sacramento,(773) 265-7605,6932373
07/26/2018,HOND,4D,,BGE,,IL,701 N. Sacramento,(773) 265-7605,6929608
08/25/2018,SATR,4D,,RED,AH18464,IL,701 N. Sacramento,(773) 265-7605,6932416
08/25/2018,TOYT,4D,,GRY,Y978810,IL,701 N. Sacramento,(773) 265-7605,6932382
08/25/2018,CADI,4D,,BGE,AJ81846,IL,701 N. Sacramento,(773) 265-7605,6932424
08/25/2018,CHRY,4D,,BLU,S108458,IL,10300 S. Doty,(773) 568-8495,2857479
08/25/2018,PONT,4D,,BLU,AP73527,IL,10300 S. Doty,(773) 568-8495,2857464
09/21/2018,MERC,LL,,RED,AT26682,IL,10300 S. Doty,(773) 568-8495,2859527
08/24/2018,PONT,4D,,WHI,532749,IL,701 N. Sacramento,(773) 265-7605,6932239
09/21/2018,NISS,LL,,TAN,AL54431,IL,701 N. Sacramento,(773) 265-7605,6934948
09/21/2018,NISS,4D,,BLK,AV52858,IL,10300 S. Doty,(773) 785-9752,1718603
08/24/2018,AUDI,2D,,BLK,Q758434,IL,701 N. Sacramento,(773) 265-7605,6932246
08/24/2018,CHEV,4D,,RED,296U860,IL,10300 S. Doty,(773) 568-8495,2857399
09/22/2018,LEXS,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2859562
09/22/2018,HYUN,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2859559
09/22/2018,HYUN,4D,,WHI,915WIN,IL,10300 S. Doty,(773) 568-8495,2859557
09/22/2018,COML,MC,,RED,,IL,10300 S. Doty,(773) 568-8495,2859558
07/27/2018,HOND,4D,CIV,RED,Z381771,IL,701 N. Sacramento,(773) 265-7605,6929667
07/27/2018,FORD,PK,F15,BLU,PG2111,WI,10300 S. Doty,(773) 568-8495,2855286
08/24/2018,BUIC,4D,,BGE,AW12599,IL,10300 S. Doty,(773) 568-8495,2857426
08/24/2018,CHEV,4D,,GRY,J674670,IN,10300 S. Doty,(773) 568-8495,2857434
08/24/2018,JEEP,LL,,WHI,AH22039,IL,701 N. Sacramento,(773) 265-7605,6932345
08/24/2018,OLDS,4D,,GLD,,IL,10300 S. Doty,(773) 568-8495,2857435
08/24/2018,OLDS,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6932356
08/25/2018,CHEV,4D,,BLK,Q122035,IL,701 N. Sacramento,(773) 265-7605,6932494
08/25/2018,HOND,4D,,GRY,AJ93483,IL,701 N. Sacramento,(773) 265-7605,6932499
09/21/2018,HOND,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6934949
09/22/2018,CHEV,4D,IMP,WHI,999T361,IL,701 N. Sacramento,(773) 265-7605,6935074
08/24/2018,PONT,4D,,GRY,AL16595,IL,10300 S. Doty,(773) 568-8495,2857400
08/24/2018,CHEV,4D,,BLK,ZU58943,IL,10300 S. Doty,(773) 568-8495,2857401
07/27/2018,MINI,HB,,SIL,P232619,IL,701 N. Sacramento,(773) 265-7605,6929686
08/24/2018,CADE,LL,,BRO,531271,IL,10300 S. Doty,(773) 568-8495,2857393
08/24/2018,TOYT,4D,,BLK,974T093,IL,10300 S. Doty,(773) 568-8495,2857394
08/24/2018,CADI,4D,,WHI,941T645,IL,10300 S. Doty,(773) 568-8495,2857391
07/27/2018,BUIC,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6929716
07/27/2018,FORD,VN,TK,WHI,AJ09387,AZ,10300 S. Doty,(773) 568-8495,2855320
08/24/2018,NISS,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6932346
08/25/2018,MAZD,4D,,SIL,Q644842,IL,10300 S. Doty,(773) 568-8495,2857478
08/24/2018,BUIC,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6932347
09/22/2018,MITS,4T,,BLK,AH54158,IL,701 N. Sacramento,(773) 265-7605,6934982
09/22/2018,CHEV,VN,,GRY,479054,IL,10300 S. Doty,(773) 568-8495,2859551
07/27/2018,PONT,4D,,SIL,AG24026,IL,701 N. Sacramento,(773) 265-7605,6929702
08/27/2018,LEXS,LL,,WHI,,IL,10300 S. Doty,(773) 785-9752,1718534
08/27/2018,KIA,4D,,GRN,V382451,IL,10300 S. Doty,(773) 568-8495,2857588
08/27/2018,FORD,PK,TK,WHI,AD91176,AZ,701 N. Sacramento,(773) 265-7605,6932658
09/22/2018,MAZD,4T,,LBL,2443629,IL,701 N. Sacramento,(773) 265-7605,6934959
08/25/2018,NISS,4D,,BGE,AT91296,IL,701 N. Sacramento,(773) 265-7605,6932366
08/25/2018,SAA,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2857442
08/25/2018,CHEV,PK,TK,RED,2322427B,IL,10300 S. Doty,(773) 568-8495,2857443
09/22/2018,CHRY,VN,,SIL,Z161677,IL,10300 S. Doty,(773) 568-8495,2859539
08/25/2018,BUIC,4D,,BLK,AN71519,IL,10300 S. Doty,(773) 568-8495,2857444
07/27/2018,FORD,LL,EXP,GRN,A987093,IL,701 N. Sacramento,(773) 265-7605,6929696
07/28/2018,HYUN,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2855333
09/22/2018,PONT,4T,,RED,592675,IL,10300 S. Doty,(773) 568-8495,2859532
07/27/2018,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 785-9752,1718468
07/27/2018,LEXS,4D,,GLD,,IL,10300 S. Doty,(773) 568-8495,2855307
08/25/2018,DODG,LL,,BLU,Z312112,IL,10300 S. Doty,(773) 568-8495,2857489
07/27/2018,NISS,4D,,PLE,,IL,10300 S. Doty,(773) 568-8495,2855306
09/22/2018,AUDI,4D,,SIL,953T437,IL,701 N. Sacramento,(773) 265-7605,6934998
09/22/2018,FORD,LL,TAU,SIL,N971937,IL,701 N. Sacramento,(773) 265-7605,6935021
09/22/2018,GMC,LL,,BLK,AL94770,IL,701 N. Sacramento,(773) 265-7605,6935017
09/22/2018,CHEV,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6935016
07/27/2018,FORD,LL,TK,BLU,679310,IL,701 N. Sacramento,(773) 265-7605,6929687
09/22/2018,CHEV,4D,,GRY,V214245,IL,10300 S. Doty,(773) 568-8495,2859544
09/22/2018,CHEV,LL,,GRY,Q922765,IL,701 N. Sacramento,(773) 265-7605,6934985
09/22/2018,HOND,2T,,BLU,Y815766,IL,701 N. Sacramento,(773) 265-7605,6934991
08/25/2018,MINI,4D,,BLU,A726123,IL,701 N. Sacramento,(773) 265-7605,6932395
09/22/2018,DODG,4D,,GRY,Y952049,IL,701 N. Sacramento,(773) 265-7605,6934975
07/27/2018,HOND,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6929695
08/25/2018,VOLK,4D,,WHI,ZV75693,IL,701 N. Sacramento,(773) 265-7605,6932389
09/22/2018,FORD,PK,TK,GRN,3574WS,IL,10300 S. Doty,(773) 568-8495,2859545
07/27/2018,LINC,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2855296
09/22/2018,CHEV,4T,,WHI,,IL,10300 S. Doty,(773) 568-8495,2859546
09/22/2018,CHEV,4D,,BLK,E538212,IL,701 N. Sacramento,(773) 265-7605,6934990
09/22/2018,CADI,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6934976
09/22/2018,SATR,LL,,RED,,IL,701 N. Sacramento,(773) 265-7605,6934980
09/22/2018,CHEV,4D,,BLU,Z903571,IL,701 N. Sacramento,(773) 265-7605,6934979
09/22/2018,CHEV,LL,,BLU,2341270B,IL,701 N. Sacramento,(773) 265-7605,6935501
07/28/2018,DODG,4D,CHA,SIL,998T345,IL,10300 S. Doty,(773) 568-8495,2855344
09/22/2018,TOYT,4D,,BLK,AM23820,IL,701 N. Sacramento,(773) 265-7605,6934987
09/22/2018,CHEV,4D,,BLK,581FDP,IN,701 N. Sacramento,(773) 265-7605,6935011
08/25/2018,DODG,LL,TK,SIL,AP52922,IL,10300 S. Doty,(773) 568-8495,2857446
09/22/2018,MITS,LL,,GRY,S628225,IL,701 N. Sacramento,(773) 265-7605,6935013
09/22/2018,NISS,4D,,GRY,AF47792,IL,701 N. Sacramento,(773) 265-7605,6935012
09/22/2018,JEEP,4H,,BLK,S255057,IL,701 N. Sacramento,(773) 265-7605,6934988
08/25/2018,MAZD,4D,,RED,AL56727,IL,701 N. Sacramento,(773) 265-7605,6932405
06/30/2018,NISS,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6927339
07/01/2018,MAZD,4D,,GRY,AS82657,IL,701 N. Sacramento,(773) 265-7605,6927425
07/01/2018,CADI,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6927442
07/01/2018,PONT,4D,,BLU,AN74590,IL,701 N. Sacramento,(773) 265-7605,6927443
09/22/2018,HOND,2T,,BLK,,IL,10300 S. Doty,(773) 568-8495,2859547
09/22/2018,HOND,4D,,PLE,AG40820,IL,701 N. Sacramento,(773) 265-7605,6934993
09/21/2018,TOYT,4D,,GRY,AT84007,IL,701 N. Sacramento,(773) 265-7605,6934956
09/22/2018,NISS,4D,,MAR,AX14840,IL,701 N. Sacramento,(773) 265-7605,6934964
07/03/2018,VOLK,4D,,WHI,Q596288,IL,701 N. Sacramento,(773) 265-7605,6927561
09/21/2018,GMC,VN,TK,WHI,AH80055,AZ,Police Pound,,6934958
07/03/2018,FORD,4D,,GRY,S114652,IL,701 N. Sacramento,(773) 265-7605,6927562
09/22/2018,TOYT,4D,,GRY,AE92840,IL,701 N. Sacramento,(773) 265-7605,6934965
09/22/2018,HOND,4D,,GLD,S650018,IL,701 N. Sacramento,(773) 265-7605,6934961
08/25/2018,FORD,4D,,TAN,AV76829,IL,10300 S. Doty,(773) 568-8495,2857451
09/22/2018,ACUR,LL,,SIL,S737608,IL,701 N. Sacramento,(773) 265-7605,6935076
09/22/2018,ROV,LL,,WHI,AB92817,IL,701 N. Sacramento,(773) 265-7605,6935077
09/22/2018,ACUR,LL,,MAR,LIKE,IL,701 N. Sacramento,(773) 265-7605,6935078
08/25/2018,CHEV,4D,,BLK,AJ15652,IL,701 N. Sacramento,(773) 265-7605,6932404
08/25/2018,CHRY,4D,,GRY,Q160991,IL,701 N. Sacramento,(773) 265-7605,6932407
08/25/2018,PONT,VN,TK,GRY,117U179,IL,701 N. Sacramento,(773) 265-7605,6932440
08/27/2018,VOLV,4D,,SIL,168357,IL,10300 S. Doty,(773) 568-8495,2857594
08/27/2018,NISS,4D,,BLK,AG83292,IL,10300 S. Doty,(773) 785-9752,1718536
08/27/2018,AUDI,4D,,BLK,6YPV460,CA,10300 S. Doty,(773) 785-9752,1718535
09/22/2018,JEEP,LL,,WHI,AF72168,IL,701 N. Sacramento,(773) 265-7605,6934981
09/22/2018,CHEV,2D,,BLU,ZY16689,IL,701 N. Sacramento,(773) 265-7605,6934967
08/25/2018,FORD,4D,,WHI,AV24884,IL,701 N. Sacramento,(773) 265-7605,6932430
09/22/2018,FORD,LL,TK,SIL,AG37430,IL,701 N. Sacramento,(773) 265-7605,6934995
09/22/2018,JEEP,LL,,MAR,DL001BD,IL,701 N. Sacramento,(773) 265-7605,6934972
08/25/2018,DODG,VN,TK,GRN,AS87649,IL,10300 S. Doty,(773) 568-8495,2857456
09/22/2018,SAA,4D,,GRY,AU34262,IL,701 N. Sacramento,(773) 265-7605,6935039
09/22/2018,PONT,2D,,BLK,AQ75170,IL,701 N. Sacramento,(773) 265-7605,6935040
08/24/2018,CHEV,4D,,SIL,816YZY,WI,10300 S. Doty,(773) 568-8495,2857455
08/25/2018,FORD,LL,,MAR,R841467,IL,701 N. Sacramento,(773) 265-7605,6932429
07/28/2018,DODG,VN,,,AB92190,IL,701 N. Sacramento,(773) 265-7605,6929729
08/25/2018,HARL,MC,,BLK,EL3054,IL,701 N. Sacramento,(773) 265-7605,6932515
07/27/2018,LINC,4D,,BLK,AN54442,IL,10300 S. Doty,(773) 568-8495,2855323
08/25/2018,MERC,4D,SAB,GRY,,IL,701 N. Sacramento,(773) 265-7605,6932516
07/28/2018,FORD,LL,,SIL,AH18554,IL,701 N. Sacramento,(773) 265-7605,6929728
07/28/2018,FORD,4D,VIC,WHI,ZV88795,IL,10300 S. Doty,(773) 568-8495,2855329
08/25/2018,TOYT,4D,,BLK,511258,IL,10300 S. Doty,(773) 568-8495,2857498
07/28/2018,HYUN,4D,,SIL,Q202772,IL,10300 S. Doty,(773) 568-8495,2855327
08/25/2018,FORD,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2857499
08/25/2018,FORD,LL,,GRN,,IL,10300 S. Doty,(773) 568-8495,2857503
08/26/2018,BUIC,4D,,TAN,AX44196,IL,701 N. Sacramento,(773) 265-7605,6932592
06/30/2018,HOND,4D,,BLU,E179710,IL,701 N. Sacramento,(773) 265-7605,6927302
07/28/2018,CHEV,VN,,MAR,,IL,10300 S. Doty,(773) 568-8495,2855330
09/22/2018,MITS,LL,,SIL,X696711,IL,701 N. Sacramento,(773) 265-7605,6935001
07/27/2018,NISS,LL,,BLK,AT93360,IL,701 N. Sacramento,(773) 265-7605,6929715
09/22/2018,JEEP,LL,,SIL,AL94163,IL,701 N. Sacramento,(773) 265-7605,6935007
09/22/2018,LINC,LL,,BLK,AF17839,IL,701 N. Sacramento,(773) 265-7605,6935014
09/22/2018,CHEV,LL,,BLK,Y805794,IL,10300 S. Doty,(773) 568-8495,2859548
07/28/2018,BUIC,4D,,WHI,AT62081,IL,701 N. Sacramento,(773) 265-7605,6929742
